,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,mg,NMDA_ratio
524,524,6694,6,2,119,0.734,116,679.0,19.0,0.5092862844467163,1.8235766887664795,2.43754,1.0371581316,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
525,525,6694,6,2,119,0.754,116,677.0,19.0,0.5066571235656737,1.7999142408370972,2.44458,0.967748403549,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
526,526,6694,6,2,123,0.601,116,688.0,22.0,0.5194354057312012,1.9149186611175537,2.02708,1.30509459972,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
527,527,6694,6,1,3,0.836,116,673.0,18.0,0.5021921396255493,1.759729504585266,2.85446,0.849873125553,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
528,528,6740,6,2,149,0.184,116,671.0,17.0,0.49999403953552246,1.739946365356445,2.51448,0.791842520237,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
529,529,6740,6,2,149,0.204,116,658.0,13.0,0.4852372407913208,1.6071351766586304,2.53109,0.402263104916,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
530,530,6740,6,2,114,0.332,116,687.0,22.0,0.5183655619621277,1.9052900075912476,1.72255,1.27685070038,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
531,531,6740,6,2,68,0.379,116,670.0,17.0,0.499204695224762,1.732842206954956,2.33396,0.771003961563,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
532,532,6819,6,1,11,0.896,116,666.0,15.0,0.4935505092144013,1.6819546222686768,2.84852,0.621733486652,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
533,533,6819,6,1,37,0.031,116,683.0,21.0,0.514165997505188,1.8674938678741453,2.5163,1.16598188877,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
534,534,6819,6,1,37,0.07,116,659.0,13.0,0.4859427511692047,1.6134847402572632,2.53328,0.420888662338,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
535,535,6819,6,2,4,0.974,116,659.0,14.0,0.48630446195602417,1.616740107536316,1.98901,0.430437624454,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
547,547,7009,6,2,5,0.887,116,672.0,17.0,0.5008494257926941,1.7476447820663452,2.11713,0.814424693584,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
548,548,7009,6,2,5,0.817,116,661.0,14.0,0.4888007640838623,1.6392067670822144,2.1297,0.496339887381,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
549,549,7009,6,2,117,0.044,116,672.0,17.0,0.5016636252403259,1.7549728155136108,2.09709,0.835920274258,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
550,550,7009,6,2,91,0.482,116,681.0,20.0,0.5122682452201843,1.850414156913757,1.25138,1.11588168144,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
551,551,7009,6,1,49,0.671,116,680.0,20.0,0.5107424855232239,1.836682081222534,2.45429,1.0756008625,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
552,552,7052,6,1,35,0.941,116,678.0,19.0,0.5077016353607178,1.809314489364624,2.71154,0.995322644711,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
553,553,7052,6,1,42,0.317,116,664.0,15.0,0.49161931872367853,1.6645739078521729,2.72921,0.570750176907,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
554,554,7052,6,1,48,0.199,116,682.0,20.0,0.51347416639328,1.8612672090530396,2.61211,1.14771723747,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
555,555,7052,6,1,60,0.036,116,669.0,16.0,0.497411459684372,1.7167030572891235,2.62209,0.723662257195,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
556,556,7168,6,2,1,0.875,116,666.0,16.0,0.49444639682769775,1.6900174617767332,3.11376,0.645384609699,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
